session_id,question_id,response_raw_or_paraphrase,fairness_1_to_5,clarity_1_to_5,agency_1_to_5,table_usefulness_1_to_5,designer_knowledge_effect,prior_session_effect,observed_fact,facilitator_interpretation,design_inference,recommendation,missing_fields
SELF-S01,q01,"Because it was my only attack way to use it.",,,,,,,,,,,
SELF-S01,q02,"The encounter.",,,,,,,,,,,
SELF-S01,q03,"Everyone of them since the amount of blood and incapability of my body against him scared me.",,,,,,,,,,,
SELF-S01,q04,"I didn't even try it since I had bigger problems.",,,,,,,,,,,
SELF-S01,q05,"Yes, but arm was more crucial for victory.",,,,,,,,,,,
SELF-S01,q06,"A bit since I didn't wanna lose my arm.",,,,,,,,,,,
SELF-S01,q07,"Yeah I mean I was bout to die.",,,,,,,,,,,
SELF-S01,q08,"Forced much. I didn't feel like I have any other option when I made my each move.",,,,,,,,,,,
SELF-S01,q09,"Forcefully yes.",,,,,,,,,,,
SELF-S01,q10,"Focus. Does not help shit if I can't make any move between the enemy hit and focus ability since I just learn what's gonna happen without the chance to prevent it. It's dumb.",,,,,,,,,,,
SELF-S01,q11,"I didn't even understand the effect of it on my gameplay.",,,,,,,,,,,
SELF-S01,q12,"A bit",,,,,,,,,,,
SELF-S01,ratings,"Participant requested agency definition before rating.",1,3,1,3,"Designer knowledge acknowledged at opening; no separate effect statement.",none,"Session complete; ratings recorded.",,,,
SELF-S02,q01,"Felt crucial to stay alive.",,,,,,,,,,,
SELF-S02,q02,"warden?",,,,,,,,,,,
SELF-S02,q03,"felt no difference between actions",,,,,,,,,,,
SELF-S02,q04,no,,,,,,,,,,,
SELF-S02,q05,no,,,,,,,,,,,
SELF-S02,q06,no,,,,,,,,,,,
SELF-S02,q07,"a bit",,,,,,,,,,,
SELF-S02,q08,"choice felt limited and unimpactful",,,,,,,,,,,
SELF-S02,q09,"I don't see the difference",,,,,,,,,,,
SELF-S02,q10,none,,,,,,,,,,,
SELF-S02,q11,"felt nothing",,,,,,,,,,,
SELF-S02,q12,yes,,,,,,,,,,,
SELF-S02,ratings,,2,4,1,1,"Prior session and designer knowledge acknowledged at opening; no separate effect statement.",same_sitting,"Session complete; ratings recorded.",,,,
